author,comment,published_at
@Nicky-ds2db,Sepertinya kurang panjang durasinya 😂,2025-11-15T07:59:59Z
@zia_huda,Ngerii ih denger nya😭😭😭😭,2025-11-15T07:59:45Z
@faruqalf1586,tiap dengerin dokter ini di podcast berasa lagi lihat dokter tirta yg sama2 HALUS TUTUR KATANYA seperti orang Solo pada umumnya.,2025-11-15T07:53:44Z
@kennykemex6835,Dokter nya kerja di rs mana?,2025-11-15T07:53:10Z
@QorieSpt-b3q,Penasaran sama pov dari pasien ny,2025-11-15T07:50:02Z
@aldonoverlian3798,ternyata perbincangan dokter dengan orang biasa seperti kita bener2 gk akan yambung karna gk tau letak asiknya di kita itu di mana😅,2025-11-15T07:49:24Z
@ciaa167,"SERUUU SEKALII DOKTERNYA, AKU JD BELAJAR BANYAKK MESKIPUN SERAM BGTT KALO UDH SOAL KASUS IGD",2025-11-15T07:48:40Z
@muhammadsyahir3629,""".... Kayak the Battle of Bastard"" what a way to describe a situation LMFAOOO",2025-11-15T07:43:48Z
@milkyway7885,baru sadar podcastnya cm 30 menit kurang 🥲😭 saking serunya tau2 udh ending☹ tolong bang radit undang lagi dr. gia seru banget klo bisa 1 jam 🥺,2025-11-15T07:04:56Z
@pramitapamungkas,nonton apa katanya?,2025-11-15T06:59:36Z
@nurshofiatul6235,"btw kalau ada dosen biologi kyk gini, pasti gak ngebosenin dan semangat belajar terus, seru banget😂",2025-11-15T06:59:19Z
@titharahmawati,"serius berasa belajar biology, tapi gampang mencerna nyaa ,",2025-11-15T06:49:31Z
@seguni_tp,Ya Tuhanku… aku ngilu banget denger cerita soal rahim 😢,2025-11-15T06:38:31Z
@alvyandana,pernah ketemu dr gia pas ngasih penyuluhan bahaya covid19 sebelum lockdown di 34 😁,2025-11-15T06:32:12Z
@DayangAisyah-q8d,Kalian knpa masih percaya dukun beranak 😭😭😭😭😭😭,2025-11-15T06:31:28Z
@fatmasari9731,Jadi rahimnya bisa dipasang lagi?,2025-11-15T06:26:39Z
@037_citradwilestarimaruapey,"Part 2 dong bang, durasinya kureng nii😮",2025-11-15T06:22:42Z
@rjolrafli,Antonim Tirta ternyata Gia,2025-11-15T06:02:44Z
@NormalaRizkikah-wx6yx,"Berkah ilmunya bermanfaat bgt dok. Menjelaskan dgn bahasa yg mudah d mengerti🙏
Dan salam hormat jg untuk dokter dari saya pemilik rahim dok🙏
Bersyukur alhmdulillah 🤲",2025-11-15T05:39:27Z
@elsawidiya3014,bang radit tadi tuh drama apa namanya yang the fit ? drakor ? aku cari gaada,2025-11-15T05:30:13Z
@nyisubanglarang5551,Tadi dia blg dramkor apa,2025-11-15T05:28:32Z
@annaanansyah-r9c,kecintaan bgt ni dokter sm pekerjaannya😭,2025-11-15T05:27:13Z
@NinaFaulina-o3p,"Sering lewat di ig dokter yg ngejelasin ttng struktur tubuh,kulit, otak dll. Suka bgt nonton itu, baru tadi ngeh kalo itu dokter Gia, karna selama ini gk pernah liat username nya, pas dengerin podcast ini (niatnya tadi sambil mkn tp gk kuat) jadi baru skrng nonton, ternyata suaranya bener2 sama pas dia ngejelasin di video istagram itu😆",2025-11-15T05:25:45Z
@cikadeliska19,Banyakkin dokter yg excited sma keilmuan nya gniii 😢,2025-11-15T05:23:17Z
@agustinarestiana2132,5:07 gen z sedang menenangkan diriii😭😭,2025-11-15T05:16:08Z
@Tzhizukadewii,Rahim aku nyeri merinding mual dengerin menit 6😢,2025-11-15T05:06:33Z
@klaudiadefrisaiman_b2034,Aduuuh ngeri iih🥶,2025-11-15T04:55:29Z
@SriSuharsi-xz4zl,Bang pen*il nya juga copot gak,2025-11-15T04:44:20Z
@suyannilay8717,"Terimakasih dokter dokter dan perawat (Nakes ) deh..,The pitt..keren!!!!!!!so real!!!",2025-11-15T04:34:28Z
@primadani07,"serunya dokter, seremnya kita. 
itu cerita serem gak sih bukan seru. salah masukin kata deh kayaknya dok.. 
😭",2025-11-15T04:15:38Z
@roositarosita4040,"Soal bisul gak bisa ketinggal
Bisul membawa cinta soalnya😂",2025-11-15T03:57:13Z
@markisa8390,Aku pernah baca kisah ini klo ga salah di instagram dr Gia.,2025-11-15T03:51:36Z
@fannynafrista7467,"Dr. Romantic 1-3
The Doctor's
Doctor Strangers
Trauma code
. 
. 
Banyak banget ilmu dr drakor"" Ini",2025-11-15T03:51:35Z
@GinaSaripatuulya,Bisa d tuntut ga mapataji nya,2025-11-15T03:46:10Z
@lilissetiawati5754,tapi ada dokter lain yang bilang cerita rahim copot ini hanya cerita khayalan loh dokter Gia..,2025-11-15T03:32:40Z
@dilaromdon1953,Seminar vip bang Radit yg di tonton followers nya ❤🎉🎉 ilmu....,2025-11-15T03:32:15Z
@himawanhadi3179,gakuat bgt liat bang radit melongo😭,2025-11-15T03:21:45Z
@alulfasafitri9745,"Like
My",2025-11-15T02:58:25Z
@GangkFrison,Haiii HANIN Sayng 🤭,2025-11-15T02:49:51Z
@nendenputri7672,"25:19 aku malah smpe batuk keluar darah segar, kaget bngt, dn ternyata asam lambung mengiritasi tenggorokan, trus klo gerd tu kyk ada lendir mulu di tenggorokan jdi bikin kita batuk gtu",2025-11-15T02:45:30Z
@bennedictusiskandar6532,kurang lama bang,2025-11-15T02:16:04Z
@cangcits,Series apa sih kata bang radit tuuuh?,2025-11-15T01:28:04Z
@denokkumalasari492,Dr. Gia adalah baek gyu versi nyata 😂😂😂 yang pernah liat webtoon itu pasti tau 🤭🤭🤭,2025-11-15T01:24:32Z
@Mayaasarii97,RAHIM COPOTT!?😭,2025-11-15T01:20:29Z
@ilmiarahmania2453,Barakallah dok semoga sehat selalu yaa🤲,2025-11-15T01:10:46Z
@sheila_es,Berasa kek denger cerita sikopet😊,2025-11-15T00:08:51Z
@Siapaluuuu,DOKTER GIAAAAAAAAAAAAAA🙌🙌🙌🙌🙌🙌🙌,2025-11-15T00:01:59Z
@yulifebriani9996,"Seasik ini cara jelasinnya.. Jadi seruuuu😊😂 undang lagi bang radittt, biar ilmu kita nambah terus niih.. 😊",2025-11-15T00:00:48Z
@FaraAurellia-f4t,ak lg mens pas denger rahim copot rasanya geter sebadan-badan,2025-11-14T23:58:08Z
@AuralMind-y8d,series apa sih yg dibicarakan kak radit?,2025-11-14T23:57:29Z
@armelialistiyani9954,Film apa si yg tadi bang radit bilang sama dokternya? Judulnya apa gesss ada yg tau ga?,2025-11-14T23:47:37Z
@chindydwi1171,"nangis bgt pas dokternya bilang ""salam hormat buat seluruh pemilik rahim"":)",2025-11-14T23:31:58Z
@kusumawardani-f1p,"semua cerita dokter ke gambar, soalnya aku suka nonton kartun cells of work😭😭☝🏻",2025-11-14T23:27:39Z
@putubali-r5h,aku datang dari tiktok langsung nonton sambil siap” mau kerjaaaa KERENNNNNNN! ditunggu part 2 nyaaaaaa 5 jam minimal banggg,2025-11-14T22:24:11Z
@wildayantiusman111,Durasinya kurang panjang bang. Diundang lagi dong  bang,2025-11-14T20:10:11Z
@NovitaBintang-o1v,Haha,2025-11-14T19:17:35Z
@AsengAcik-k3q,wajiiib undang lg dgn durasiii 5 jamm,2025-11-14T18:43:43Z
@Dwidikidiw,"Baru pertama dokter share pengalaman nya , bdn udh lemes dan ngilu2 🥵",2025-11-14T17:19:46Z
@smn4014,Bang undang dr. Gia lagi tapi temanya HOROR donk sama kasus2 diluar nalar😁😁,2025-11-14T16:47:59Z
@irmaafridaa,Ternyataaa ada beneran di Indonesia dokter versi didrakor🥹🥹,2025-11-14T16:42:58Z
@jasmineazzahra4195,baru kali ini bisa stay nonton podcast...asik banget dan nambah ilmu....,2025-11-14T16:22:09Z
@trias32,Gua nangis denger cerita yg rahimnya ditarik 😢,2025-11-14T16:21:05Z
@isnanf8346,"Pantes judul bukunya ubur2 lembur, ternyata terinspirasinya dari buku2 radit😂😂",2025-11-14T16:17:16Z
@Nur_diyantii03,Dia yg crta gue lemesss😭😭,2025-11-14T16:16:21Z
@KAKI268-T3mpatnya-Cu4nn,situs rekomendasi banyak hokinya 🔥🔥 #KENAHOKI,2025-11-14T16:13:28Z
@maaseya1,Dok... Beneran itu minumannya aman? Apa cuman gara2 sponsor? 😊,2025-11-14T15:59:00Z
@dewiagustin7445,"Bakteri, virus, jamur",2025-11-14T15:51:45Z
@MaryamWiyarandi,"Mau nonton keliatan seru bangett, tapi ga kuwaatt🤧",2025-11-14T15:16:37Z
@FaisalDaffa-n2k,Kok mirip yah,2025-11-14T14:53:11Z
@RahmanWijaya-sn7xt,dari tiktok langsung nyasar kesini 😅,2025-11-14T14:41:51Z
@saskiafebyandini6770,Ini yg pnya akun instagrqm dockbucket gasii?,2025-11-14T14:32:32Z
@aedhagabrella1970,"Merinding wi, rahim copot?? 😢",2025-11-14T14:31:41Z
@deskurnia1,"Salam Hormat untuk para Dokter seluruh Indonesia ❤❤❤

Saya bangga dan kagum dengan kebaikan dan ketulusan dokter, trutama dokter yg prnah membantu menyelamatkan anak saya, saat 3,5th divonis usus buntu.. skrg anak sya udh sehat dan tmbah pinter Alhamdulillah 😭 trimakasih Pak dr. Ricky dan dr. Dicky 🙏🏻",2025-11-14T14:31:17Z
@windiauliah4859,iiihhh mau beli bukunya,2025-11-14T14:30:08Z
@Lyaanii-33,R-RAHIM DOK?? anjir..,2025-11-14T14:23:46Z
@NurulAmah-i5v,"kebayang kalau gue berteman dengan dokter igd begini, yang kaget dan gakuat denger akunya😂",2025-11-14T14:21:09Z
@yoesefkotten1243,amanin pepeg kalian,2025-11-14T14:16:10Z
@Rantinurulfazri,Maasyaallah yaallah merinding denger cerita rahim copot bisa disambung lagi 😢,2025-11-14T14:07:50Z
@laras2161,Seru,2025-11-14T14:00:39Z
@wulan8194,"Baru 3 menit ekspresiku udah begini ""😲""",2025-11-14T13:57:17Z
@wulan8194,"Baru 3 menit ekspresiku udah begini ""😲""",2025-11-14T13:57:01Z
@seraphinechiaruna3726,Br 2 menit kurang dikit aku dengerin ini - berniatnya mau makan sambil dengerin nih podcast.. Tp memutuskan untuk langsung cancel karna nih podcast mengandung cerita yg berbau darah2 dan butuh imajinasi sedangkan aku mau makan weyy wkwwk.. nanti aja dehh abis makan dengerinnya 🙃🙃,2025-11-14T13:53:10Z
@KrisnaMeliati,Tegang dengernya 😬,2025-11-14T13:45:37Z
@dhanyramadhany380,Gw bingung sebenernya ini chanel apa sih??,2025-11-14T13:39:53Z
@SriNurAsyah,Sepanjang nonton ini badanku lemes dengernya 😭😭,2025-11-14T13:39:04Z
@beaamahorseja,gen z tenangin diri kalian😭,2025-11-14T13:38:14Z
@LisaChoi-ig5sf,Kurang lama banggggggg,2025-11-14T13:16:44Z
@apostrophieesgo,sangat seru ya dok🤭🤭,2025-11-14T12:49:17Z
@pinkygirlss1305,gen z tenangin rahim kalian😭,2025-11-14T12:46:03Z
@Lavenderarea,"Emang ya kalau seseorang bicara soal passionnya , Auranya keluar bahagia excited banget. Positive vibes bgt ya",2025-11-14T12:43:48Z
@mehymehy-k3s,Trauma code best bgt,2025-11-14T12:23:14Z
@PedriSupedri,"Subhanallah pak dokterrr. Adem bngettt ngejelasinnya, slaluuu Senyummm tenang..... Sehat² pak dokterrrrr....",2025-11-14T12:22:36Z
@ernilakalaka5217,Baru kali ini liat podcast seru banget,2025-11-14T12:21:07Z
@jaehyungf-be6ey,DOKTER KAMU EXCITED BANGET JADI SENENG LIATNYAA❤❤❤,2025-11-14T12:09:10Z
@ratuniakartika897,Enak bgt penjelasan dokternya ga bosen dengerinnya,2025-11-14T12:05:07Z
@Funks_MonkieZ,"Gw anak yang lahir pake jasa paraji, karena darurat diatas gunung ga ada tenaga medis terdekat,mau turun terjal sekali dan posisi nya malam banyak binatang buas berkeliaran, paraji yang bantu lahiran mama gw itu umurnya hampir 100 tahun, tapi prosedur nya bagus plasenta kaga di tarik nunggu keluar sendiri, sama ada koordinasi dengan bidan setempat kalo mama gw kenapa kenapa udah ada orang yang kalo ada apa apa mau ga mau harus jemput bidan nya walau jauh banget turun kebawah sama bahaya tapi Alhamdulillah nya gw lahir dengan selamat, untung juga parajinya ga bar bar",2025-11-14T11:55:47Z
@angelamerici353,Terima kasih ilmunya Dr. Gia🙌🏻,2025-11-14T11:51:58Z
@nunungnurhayati2203,Aq juga lahirnya di paraji alias dukun beranak th 1994 untung mamah aq gk knp2 yah 😢 soalnya thn segitu masih mahal lahiran di klinik bidan atau RS jdinya byk yg lahiran di paraji,2025-11-14T11:50:58Z
@senifujilestari9638,❤,2025-11-14T11:47:35Z
@azkamuhammad463,Ngeri2 sedeppp dengerinnya ngilu bangettt😢,2025-11-14T11:42:11Z
@NurHayati-ct2cc,di garut ngga tuh...,2025-11-14T11:40:34Z
@Yeremia-i6n,Judul bukunya apa saja dokter?,2025-11-14T11:37:16Z
@febriyantinuriyah7395,"Suami aku gara"" DBD bisa masuk ICU karna muntah darah dan pup darah",2025-11-14T11:29:59Z
@fadhilazulhida4059,Judul film nya ape bg,2025-11-14T11:28:15Z
@arinarinda5741,series pa yang di tonton bang radit?,2025-11-14T11:27:45Z
@ketakuptakup,11:40 flu,2025-11-14T11:13:54Z
@SeptiAnggraeni-f3y,Pembawaan dokter emang beda ya selalu enak didenger,2025-11-14T11:05:13Z
@ayuratu21,Ada yg bisa info film apa yang bang radit mksd yaa? 😅,2025-11-14T10:23:18Z
@aryadwipangga4680,Semoga banyak lagi dokter yg seperti ini cinta bgt sm pekerjaannya sehat selalu ya dokter,2025-11-14T10:07:14Z
@Halagonners,Bang radittt undang dokter giaa lagiiii,2025-11-14T10:06:00Z
@chocho8378,Dulu beberapa tahun lalu prnah baca kisahnya dr gia di twitter. Seru2.,2025-11-14T10:04:30Z
@intanfatma6787,"Aku sepanjang dengerin podcast ini, ngilu rasanya.",2025-11-14T10:03:23Z
@sigadop3492,10 menit pertama dengerin lemes sampe step out dulu buat recovery,2025-11-14T09:58:00Z
@editingchannel-z2c,Gw aja yang cowok gemeteran denger nya pas ngebayangin💀,2025-11-14T09:50:45Z
@Kelor404,seru dia bilang ,2025-11-14T09:26:14Z
@WasiniWasini-d6j,Saya ke sini krena liat di ig.ngilu ih,2025-11-14T09:24:04Z
@ozanGanteng-t4y,Aq yg linu perutnya iihhhh ngerii,2025-11-14T09:20:52Z
@dirgantarafatullah4814,13:19 jadi ingat anime cells at work,2025-11-14T09:02:42Z
@Iamaiss_,sepanjang nonton 😳,2025-11-14T08:46:41Z
@Leacyid,"Gua agak paham sama pembahasan si dokter gara-gara nonton anime ""Cell At Work"" wkwk",2025-11-14T08:44:31Z
@kholikNurrochim,iya bener terimakasih untuk orang2 yang sudah mau donor darah sangat² membantu,2025-11-14T08:27:53Z
@QeyshaPutri,5:07 rahim copod😭😭,2025-11-14T08:24:38Z
@mikomfisipmikomfisip,apa ya judul film yg disebut?,2025-11-14T08:15:50Z
@megaaisah3406,"Sebelumnya ga terlalu peduli dengan DBD, tapi sejak mamah pernah terkena DBD, trombosit turun, gusi berdarah, rawat inap terlama sampai 5 hari . Jadi sepeduli itu bahwa DBD ini memang tidak bisa dianggap remeh. Semoga kita dijauhkan dan yg sedang terkena sanak keluarganya cepat diberi kesehatan kembali 🙏🙏",2025-11-14T07:57:28Z
@fatimahkhoirunnisa3948,Rupane bang radit pas crta operasi copot rahim mlongo 😂😂😂,2025-11-14T07:55:14Z
@ndeloktivi,kek gitu dukun beranaknya bisa dipenjara ga sii??,2025-11-14T07:50:29Z
@ucolll4360,"dr. tirta: 😡😤😠🤬😈👿☠️👺👹
dr. gia: 😄😊☺️😁😺",2025-11-14T07:20:18Z
@rizqikamila3135,Seru bgttt. Durasinya kurang bangggggg,2025-11-14T07:17:27Z
@meidiana3651,Nonton ini pas lagi haid perut lqgi sakit bgtu denger makin sakit😂,2025-11-14T06:58:13Z
@dddumplingsoda06,Tapi ceritanya ngeri 😭,2025-11-14T06:47:32Z
@Oknovia,Dok... aku ngilu pas ngomongin rahim 😭😭😭,2025-11-14T06:47:01Z
@indriraras1781,Kayak gue yg terlalu cinta sama pekerjaan .mau sesulit apapun tetep happy dijalani.ga ngeluh dan selalu excited 😂,2025-11-14T06:43:52Z
@dindapermatasari822,Ahhh seru bgt..,2025-11-14T06:39:46Z
@ceritahidupandrea,oh sekarang tau fungsi leukosit itu besar banget. pantes dulu lsg masuk rs grgr leukositnya menurun,2025-11-14T06:38:19Z
@rizalahmad2031,"Baru ini ada yang bilang ""INI SERU"" tp gw Merinding 😖",2025-11-14T06:29:19Z
@Kelanaa13,"Temenku kerja di UGD. Cerita pernah ada ibu melahirkan dibilang kesurupan di rumah, padahal kejang 😭",2025-11-14T06:25:26Z
@Ruby-j-l7d,Sebagai perempuan yg punya rahim merasa terhormat bngt gak sih 😅...trimakasih dokter,2025-11-14T06:15:36Z
@Debillbilry,Tenanginnn diri kaliannn yaa guysss😭😭,2025-11-14T06:03:49Z
@septiaelliza9579,sukaaa banget sama dokter nyaaa😭😭,2025-11-14T05:52:43Z
@AuraSabrinaAmariaa,Tutur kata sama suara dokter nya bikin hati adem bangett❤,2025-11-14T05:41:03Z
@Nana-z8s2l,"Baru 3 menit, udah lemes dengar nya,, nggak ditontonin makin penasaran😢😢",2025-11-14T05:33:44Z
@tiyasyayas111,Sukaaaa penjelasan dr.gia,2025-11-14T05:17:37Z
@triayuamelia,dokk bukunya bisa dapet dimanaa,2025-11-14T05:16:49Z
@miaudn_,Film apa tadi bang radit?,2025-11-14T05:06:45Z
@dinachristinanatalia1594,Seriesnya yg dibahas di awal video apa? Apaaa???,2025-11-14T04:52:11Z
@AnitaFirdaus-v1c,"Film apa yg ditonton bang raditya dika ,ada yg mau kasih tau aku gaaak",2025-11-14T04:44:09Z
@gityuramadhani4908,Lemes bgt denger nya 8:32,2025-11-14T04:28:55Z
@endangskw9377,"Di mana ya mau beli bukunya dr gia ,,mau beli",2025-11-14T04:28:35Z
@sunflowerr_spf,berapa banyak dokter bilang seru? haha,2025-11-14T04:26:12Z
@rustudzikrirabbani5276,"6:18 dokter bilang seru, ini gw yang notabane nya ngilu sama darah dari tadi asik pegangin bagian perut ama bagian bagian yg pendarahan saat disebut ama dokter aja ni",2025-11-14T04:25:45Z
@istrinyaa_llyod,Kesini gara² denger berita rahim c*pot,2025-11-14T04:23:36Z
@novidm9907,"Aq ngikutin IG dokter GIA...❤

humble bnget ni dokter",2025-11-14T04:13:55Z
@ayukartika1882,"""salam hormat untuk semua pemilik rahim"" 
dr. gia ❤",2025-11-14T04:03:02Z
@Yuls.i,"Temen2 disni aku bertanya, suamiku didiagnosis autoimun RA dikasih obat, tapi suamiku ga setiap hari minum, minumnya saat sakit aja. Nah suamiku juga ga bisa kontrol bertahap karn di tmpt suami dinas ga ada spesialis nya. Terakhir berobat di Jakarta. Sedngkn ke jkrt jauh dan mahal banget biayanya. Aku pernh denger, katanya lebih ga usah diminum obatnya karena takut penyakitnya semakin parah. Tapi aku juga denger klo ga minum obat sendinya akan cepat rusak. Sedangkan suamiku, awal2 sakit tuh sampe ga bisa bangun, cuma sekarang bisa olahrga dan sering olahraga. Cuma kadang malam2 suka sakit badannya, pegel gtu. Mungkn teman2 ada yang punya sakit nya sama, atau lebih berpengetahuan. Baiknya gimana ya??",2025-11-14T03:37:04Z
@afikahhaninkhumaida1501,pak dokter idolaku karena terpesona kisah real pak dokter...... anakku kusuruh masuk kedokteran alhamdulilah sdh semester 3 hehehehe,2025-11-14T03:30:43Z
@misslany2940,daging semua isinyaa nih podcast.. part 2 plisssss,2025-11-14T03:20:07Z
@kulaindah7124,"Seneng bgt klo podcast isinya pengalaman orang2 hebat seperti ini. Ngga melulu artis/seleb2 yg viral. Lebih ada isinya gitu loh, jadi tambah pengetahuan❤",2025-11-14T03:10:39Z
@caram3l.machiato,Lagi pls lagi demi aku,2025-11-14T03:07:33Z
@Namiramm,selalu ngikutin konten beliau di ig karena penjelasannya detaik dan ada real wujudnya dengan suara khas beliau wkwk. dan sekarang diundang bang radit. senengnyaaa. semangat terus dokter Giaaa,2025-11-14T03:06:06Z
@hshkvsg,lemes bgt gw dengerin podcast ini😭,2025-11-14T03:02:13Z
@vinatriagustina6208,"Seruuu banget nontonnya, penjelasan dokternya mudah di pahami thanks dok jadi bisa sambil belajar",2025-11-14T03:01:09Z
@Ariska.Y,"Eh bapak dokternya seru loh. Dari cara menceritakan + menjelaskan serta memberitahukan tentang ilmu nya keliatan banget kalau beliau menikmati propesinya. Tulus banget ini bapak dokternya ❤❤. 

Yakin ga bakal dijutekin kalau ketemu bapak dokter ini ❤❤❤",2025-11-14T02:33:59Z
@NeyshaHerdinan,"sudah ngikutin ig dokter Gia. dan banyak bgt ilmu yg bisa kita dapat, bukan sekedar sharing kesehatan/penyakit/kasus2 pasien tapi juga tentang anatomi tubuh kita. barakallah dokter dan keluarga",2025-11-14T02:33:23Z
@lukmanhakim9396,Subhanallaah,2025-11-14T02:32:20Z
@Ganzalestmusic,"Izin klip bang buat edukasi,cmiw🎉",2025-11-14T02:21:39Z
@cahayakamila90,ahhh seruuu dokternya jelasinnya pakek bahasa bayiiii ahhhhh lagi lagi lagiii😂❤❤,2025-11-14T02:16:02Z
@Irheenee,"Pas dr gia blng, ""salam hormat buat seluruh pemilik rahim"" , ngalir air mata gua.  Gini aja gua mewek anjir.",2025-11-14T02:07:26Z
@rintawulandari3891,aku suka sekali saat dokter Gia kasih penjelasan. enak dan langsung paham dimengerti. lain kali mau lagi dong podcast bareng dr. gia lagi bang radittt,2025-11-14T02:04:49Z
@dindaayu3719,Di toktok teman sejawat nya pd blg ga mgkin rahim longsor...,2025-11-14T02:00:19Z
@ainnurfrdazm6824,Bang raditt udah pernah nonton dr. Romantic ga sihh? Kalo belum harus nonton deh kayaknya bakal sukaa,2025-11-14T01:47:18Z
@ressydian7501,"Aku ikutin gia dr di IG.. berasa pengen kuliah kedokteran kalo dosennya dr gia.. sehat selalu, dokk!!❤",2025-11-14T01:46:04Z
@SariWidiastuti-ln9vn,Sebagai nakes pasti amazing bgt ituu,2025-11-14T01:42:31Z
@DhekLyna,Ya ampun ngeri 😢😢😢😢,2025-11-14T01:33:47Z
@HarismaLia,"Dari sekian hari ,baru hari ini gw berani nonton, geri tapi penasaran 😂",2025-11-14T01:14:50Z
@yolanicaa7966,Nonton sambil tahan napas😨😨,2025-11-14T01:06:46Z
@bramNaZiVa,Maaf Pit yg dmksud babg radit judul film kah? Kepoo pgen lht. Klo trauma code sdh liat😊,2025-11-14T00:20:25Z
@gunwoogii,"beliau dulu pernah bikin thread tentang rahim lepas di twitter gak sih, soalnya udah pernah baca di twitter dulu",2025-11-14T00:16:22Z
@inatiaraaa7628,Ini Bang Radit udah vaksin Thypus nih...beberapa waktu kemudian kena tipes yaaa qodarallah,2025-11-14T00:11:30Z
@megafiraniistikomah5048,Aku pernah denger cerita ini di mana ya sebwlumnya kaya udah lama,2025-11-13T23:59:28Z
@Sellyycantikk,masih pada mau nikah ?? gue si takut😭,2025-11-13T23:52:53Z
@anggiyanarubitha5750,Nonton sambil nahan ngilu...😅,2025-11-13T23:41:56Z
@choconaaaay,TAKUTTT😭😭,2025-11-13T22:47:24Z
@ghanimunif8414,dua jam pleaseeeeee durasi kurangggggg,2025-11-13T20:21:22Z
@enjuarcadia8400,Ngga pas saya butuh darah buat adik malah bayar mahal,2025-11-13T20:07:05Z
@Rose94449,"GARA2 DR GIA GW NONTON THE PITT DAN BENERAN SESERU ITU 😭😭😭

Ga pernah bisa namatin series medical. Hosplay aja slow pace banget menurutku. 

Uniknya series ini 1 episode itu ceritain 1 jam di IGD. 1 season = 1 shift Dr Robby and team. Dar der dor banget sejam bisa berapa pasien tuh masuk. Lengkap total semua masalah sosial masuk. No drama cinta yg ga penting. 

Awal2 agak pusing krn bnyk pake istilah kedokteran tapi lama2 bisa ngikutin.",2025-11-13T20:04:07Z
@ridhogauthama1147,"gua emg gacocok jadi dokter bedah,ngeliat darah aja gabisa,ini cmn denger ceritanya meriang langsung",2025-11-13T18:55:00Z
@annbfilm,"case 1: plasenta ditarik paksa 
case 2: rahim copot
case 3: vagina bolong
case 4: rahim dikresekin


KAK????? TENANGIN DIRI LO 😭😭😭😭",2025-11-13T18:42:14Z
@ayue7088,"salut sama para dokter kuat lihat darah, aku sbg wanita yg tiap bulan dapat darah haid, liat darah sendiri aja suka lemes 😊",2025-11-13T18:22:28Z
@ariaperdanaputra3154,GELOOOOO IEU MA ANYINGGGGG,2025-11-13T17:53:08Z
@anggianggra97,"Yg rahim nya copot itu pernah baca di threadnya dan di IG dokter, bnyak bgt cerita2 dr.Gia ditulis disitu, seru bacainnya berasa lg ikut ada di situasi trsbut.. Krna pnympaian dlm pnulisannya jga enak bgt brasa lg dicritain lgsg",2025-11-13T17:33:43Z
@AldaAchmad,GEN Z TENANGIN DIRI LOO BALIK BALIKK 🥲,2025-11-13T17:27:57Z
@Pocong.Minang,Bisa aja nyelipin endorse buavita,2025-11-13T17:16:56Z
@RadityaWanna,"undang programmer dong bang, bahas soal privasi,kebocoran data, dan cybersecurity",2025-11-13T17:11:04Z
@lutviasunandar5032,"Dokter gia punya rencana lanjut spesialis gak? Soalnya pinter bgt, sayang aja kl gak lanjut ..",2025-11-13T17:08:01Z
@hikayatulaulia22,cinta banget sama dokter nya ❤️,2025-11-13T16:54:15Z
@anggitalfrida,Bang 100eps lg khusus dr gia plissssssss,2025-11-13T16:28:08Z
@anindyamnd,"dokter yang seneng banget aku baca thread nya di x, sekarang ada di podcast bang radit. SERUUUUUU pol 🥹",2025-11-13T16:25:30Z
@bokotarou,KURANG BANGET DURASINYA 😔😔😔😔💔,2025-11-13T16:17:46Z
@tantrynoviyanti2070,"Ibu aku juga punya tbc kelenjar alhamdulillah ini bulan ke 7 minum obat rutin, 2 bulan lagi tuntas❤",2025-11-13T16:13:37Z
@DoniPrasetiawan,Puas banget rasanya nnton podcast ini,2025-11-13T16:12:44Z
@90PlusFootballStory,Mirip raden rauf ya pak dokter ini. 😁,2025-11-13T16:10:47Z
@sintaekanoviana2295,ngilu banget sumpah 😭 penasaran liat di ig,2025-11-13T16:05:05Z
@bima0987,"Gilak, denger nya aja bikin lemes",2025-11-13T16:02:07Z
@YuyunHasanah-w4j,Setiap detiknya di buat kaget ..,2025-11-13T15:59:04Z
@TinaYuliana-eh9jy,Garut daerah aku dok ❤,2025-11-13T15:39:34Z
@RahmatHidayat09,Berasa lagi ikut seminar kesehatan,2025-11-13T15:35:36Z
@Farid-tl8tr,"RAHIM

COPOT",2025-11-13T15:25:49Z
@salsabilaazzahr,"Salfok iklannya bg radit alami bgt kyk film2 korea, kereenn",2025-11-13T15:21:59Z
@azzahramaharanisetyaa6684,"dokter gia definisi mencintai profesinya, bener bener pas ditanya sama bang radit tuh langsung jawab dan jelasin, juga ngasih gambaran mudahnya supaya penonton tuh bisa paham",2025-11-13T15:16:46Z
@DeviArisandi-k9t,Dr. Nya bwaan nya happy bnget.,2025-11-13T15:12:29Z
@EpiSaepi-v3b,Bang doktereerrrr aku sambil makan loh dengerin nya.. merinding ih ngebayangin nya,2025-11-13T15:09:38Z
@LingkaranBulat,Dia nonton film apa siiii spill dooong,2025-11-13T15:07:19Z
@KhslyYsr,"Ku lagi makan indome, akhirnya gak enak mau makan shock berat gua, gua cewek lagi😌",2025-11-13T14:58:38Z
@ajengrizkawanti1860,Aduh ngilu dengernya...,2025-11-13T14:55:37Z
@mybells3911,Bagus bgt cara jelasin nya.. thx dok...,2025-11-13T14:52:31Z
@elsaviadewi7322,Wahhh ga nyangka ternyata author buku Garda Detak😮 Suamiku baru beberapa bulan lalu beli buku ini krn kuliah perawat,2025-11-13T14:49:42Z
@muhamadjidi9320,"Ini tipe dokter yang menyenangkan saat di ajak konsul , bicara aja ada intonasinya 😄",2025-11-13T14:48:59Z
