author,comment,published_at
@rosmiatiimas,Ngilu bangetttttt. 😢,2026-03-28T07:14:21Z
@dianaarumsari9713,Dokter keren bgt ❤,2026-03-28T07:09:21Z
@aankarsanah7655,"Ma syaa Alloh...masih Ada dokter yg baik Dan ikhlas menolong sesama..tenth nya akan menjadi amal jariyah.
Sehat selalu dok..Aamiin..❤❤❤",2026-03-28T06:56:24Z
@anaksholehbaik,Judul film nya apaa,2026-03-28T06:25:21Z
@yuanaastuti2823,dokter favoritku.. sehat2 dan panjang umur dr gia.. kayaknya merasa damai dan aman kalo ada dr gia,2026-03-28T02:37:31Z
@yainiriaa,"dr Gia happy bgt,gw dengerinnya kaya mau pingsan😭",2026-03-27T10:27:11Z
@UmmahHibbanIbrahim,"Jaaaaauh sebelum di sini, dok Gia udah bahas rahim copot ini di podcast mizan, qodarullah viralnya abis dari podcast ini😊",2026-03-27T10:26:12Z
@AleskaSaqeena,Lemes dengerin cerita nya,2026-03-27T06:34:01Z
@ekomaulanaikhwannudinptik2499,Aku Alhamdulillah sering donor darah,2026-03-26T14:47:06Z
@Pertamax7-HD,Menyimak saat mudik dok😮,2026-03-26T13:29:47Z
@PurmilahPurmilah,Aamiin❤❤❤❤❤,2026-03-26T08:41:20Z
@purnamarisma-l3m,Saya Penyitas TBC dan anak juga terkena TBC tp ga ada pemantauan dr puskesmas cmn di data aja di puskesmas tp ga ada penyuluhan,2026-03-25T07:31:53Z
@sitikhotijah4646,MasyaAlloh,2026-03-25T06:04:17Z
@dyfachan,"masyaallah denger penjelasan tentang rahim, ak nangis bgt (((organ istimewa wanita))) 😭😭😭",2026-03-25T05:36:32Z
@orang_imut-24,5:07  sumpah denger ini langsung lemes tak berdayaa😭😭,2026-03-24T16:35:34Z
@maharanifasril1246,dr Gia kerennnnn bangett bang radit❤❤❤❤ penjelasan nya mudah di mengerti,2026-03-24T09:46:18Z
@liakhz,HEH AKU NGILU ASTAGHFIRULLOH,2026-03-24T09:35:14Z
@noname-dq9vi,"Dokter seru seru aja daritadi, aku yg dengerin ini dari beberes rumah langsung lemes sampe rebahan saking gak kuat dengerinnyaaa 😭😭😭😭😭😭🤣",2026-03-23T11:56:20Z
@LindaRahayu-u8n,"Makasih Dok,,,ilmu nya❤",2026-03-23T06:05:21Z
@sandwichgenjkt,gue nangisin rahim 😢😢😢,2026-03-22T13:54:35Z
@Laraswati141,dokter gia seru bgt 😭,2026-03-22T13:43:28Z
@Angelina-1706,Ada yang tau film yg diomongin diawal itu judulnya apa ya???,2026-03-22T11:23:35Z
@RizkiApriyandi,mantap,2026-03-22T04:11:06Z
@agungfirna3421,Pencerahan yang luar biasa 👌,2026-03-21T14:16:50Z
@DatulCantik06,22.01 ngeri banget,2026-03-19T19:47:02Z
@comoduele,"maaf, Bang Radit, dr. Gia, Buavita itu walaupun ga pake pemanis buatan, kandungan gulanya lumayan tinggi loh",2026-03-19T11:06:03Z
@syifameyla7701,Ke sini krn pak dokter,2026-03-18T12:43:10Z
@ditalestari2877,dukun beranak emang sialan sih kata gw,2026-03-18T09:22:44Z
@emarahima1952,Pak dokter gak nanya kadar gula di juice itu😅😅😅😅😅,2026-03-18T05:49:40Z
@keluargacemara9774,"Suka banget dengerin dokter Gia bercerita, sharing pengalamannya beliau 😊 sehat selalu Pak Dokter",2026-03-17T08:39:43Z
@punggawaduri9461,"BAKALAN LARIS MANIS NIH "" BUAVITA"" 😊😊😊",2026-03-17T07:01:26Z
@kuatitussiana8987,Sungguh lemes banget denger nya😮😮😮😢,2026-03-17T06:43:29Z
@ratini6317,Bagi dokter gia seru ...bagi kita yg ndenger super ngeri... merinding takut ... tapi pengin tau laanjutanya,2026-03-16T02:22:51Z
@maulidaraina1838,Dr gia bilang ini asik😢😱😱,2026-03-15T23:52:27Z
@adetiamarhadi8774,"biasa nonton dr tirta, dan coba nonton versi yg dr gia. kalo kata gue dr gia kalo ada ajakan podcast bareng dr tirta jangan mau dah 😂",2026-03-15T18:00:29Z
@UmiKarangloa,"Aku sih ngebayangin, hidup dr gia.yg penuh kekacauan dan ketegangan d IGD , ttp ttp senyum dan berseri seri,",2026-03-15T04:05:31Z
@ayahbundakkdd4005,"Kok pinter bgt dok...sehat selalu ya dok. Bulu2 nya dibuat film, lucu tp serem",2026-03-14T09:54:42Z
@ayugendhies5542,26.40 bener dok kakak q batuk ga sembuh2 dan ternyata mmg dr asam lambung setelah asam lambungnya diobati alhmdllh gak batuk2 lg..,2026-03-14T03:05:09Z
@leejeno5574,aku sepanjang nonton 😖😫😭😭🤧😱😭😫🫨😧,2026-03-11T13:50:28Z
@SitiSaadah-h9f,Salam kenal dokter,2026-03-10T04:36:27Z
@arast_woo,12:58  leukosit kalo di hataraku saibou ganteng plss 😰,2026-03-09T14:26:32Z
@ariawiyana,"5:04 kisah legendaris ""Rahim Copot""",2026-03-09T09:19:33Z
@violafitrianidaulay,Ini dokter kalau jadi guru atau dosen kayanya seru banget 😭. Asik banget kalau belajar sama beliau pasti. Cara jelasin nya cocok banget jadi pengajar 😆,2026-03-09T07:19:15Z
@exonzigma,"Dr. Tirta: 🤬☠😡💢👿
Reaksi penonton: 😂😃😅😁
Dr. Gia: 😄😃😊😁😇
Reaksi penonton: 😲😨😱😰😫😭",2026-03-08T17:42:23Z
@fannyfebrianty4112,Pas tentang rahim aku langsung mules sama melongo😮,2026-03-07T04:29:51Z
@endangkartiningsih4240,"Amalan apa  wkt hamil ibu dr.Gia...dptkan anak hebat seperti ini...
Salut n hormat utk beliau...",2026-03-07T03:50:42Z
@yuniartiwjy,"Kayanya pas iklan buavita drgia nya ga terlalu nyaman ya hahaha, mgkn dia tau di lubuk hatinya lg pertentangan,, 😂",2026-03-07T00:34:14Z
@mawarna5278,Seriesnya apa judulnya?,2026-03-06T10:30:25Z
@WiraWiratna,Ga kuat nonton podcast ini demi,2026-03-06T01:00:47Z
@10_niputuadeliacandraswari,Aku yg nyalinya kecil denger luka apalagi darah selama nonton ini : 💆🏻‍♀️🤕😵‍💫 tpi kepoo bgt seru,2026-03-05T08:57:56Z
@hanifatunnimah2067,"Dokter : 🤩🤩🤩🤩🤩🤩
Gw : 😭😭😭😭😭😭😭😭",2026-03-03T06:14:40Z
@fathkhoiriyyah3697,"Bang Radit, tutup auratnya bang. Pake celananya sampe nutup lutut",2026-03-03T04:08:26Z
@AndiniKharismaDesfiana,sejauh ini podcast dok gia yg paling enjoy untuk ditonton karena ga ada dipotong penjelasannyaa,2026-03-02T18:42:39Z
@fakhrularif4521,nice,2026-03-02T18:42:24Z
@Muhilah,Lemes banget pas cerita rahim copot😭😭,2026-03-02T13:43:59Z
@MilaPane-n7s,Ahahahhaha ketawa bgt pas dokter  cerita trus blg seru pdhl buat kita horor bgt.. trus radit mangap bengong kaget sekian detik lanjut ngangguk ngangguk iya iya seru AHAHAHAHAHHAHAHAHAHAHA,2026-03-02T05:20:14Z
@ninarosali2767,"Dokternya ceritanya senyum, yg denger ngilu",2026-03-01T16:40:52Z
@umikadir66,Jangankan doktor jadi jururawat pun saya tak manpu,2026-03-01T13:08:48Z
@user-pq4oo4mw4w,"Masih panjang umur ibu itu.... Melahirkan, ada baru2 ini di rs kmi... Dtng ke ponex sdh shock dan meninggal",2026-03-01T08:50:05Z
@shintagrafologi9424,Suka banget nontonin podcast yg ada Dokter Gianya soalnya storytellingnya luarr biasaaaa!!!,2026-03-01T01:09:36Z
@yuliyanti1612,Dr gia keren bgt,2026-02-28T23:11:38Z
@tresnaniirma,perut langsung melilit pas bahas rahim copot 😭😭,2026-02-28T19:35:41Z
@arinikho,Dr gia pas ketawa di menit 27 ha-ha-ha-ha💸💸💸,2026-02-28T09:59:27Z
@ayuoktaviliani7278,Apa nama judul film yang di bilang kk radit ya?,2026-02-28T06:36:23Z
@langitbiru1519,Hoooorrrraaaaaay dr Giaaa,2026-02-28T06:28:34Z
@desirahayu6007,"Enak bgt yah pembahasan nya, gmpang di mengerti ❤",2026-02-28T02:11:38Z
@Minifarming8,Yg disebutin Radit fil apa the pid itu apa sih gaes? Pengen nonton. Taunya Drakor kedokteran jdulnya trauma code horoes.,2026-02-27T22:26:35Z
@diajengayulestari9193,Dokter gia ceritainnya excited . Gw yg denger nya ngilu wkwkwk rahim copot,2026-02-27T19:55:53Z
@mylouvespace9686,"Dr. gia bener bener mencintai dan menikmati pekerjaannya sebagai dokter, happy bgt kalo dengerib dokter gia cerita😭💕💕",2026-02-27T17:14:26Z
@DogeRider985,"Kanker dgn kata lain itu cell tubuh yg berontak karena tuannya gk bisa jaga tubuh

Cell kanker: pemilik tubuh b*ngs*t gue kerja tiap hari ngelindungin tpj malah di rusak trus, dh lah pindah circle join bakteri virus ngancurin tubuh 😅",2026-02-27T09:04:24Z
@DogeRider985,"Dukun beranak harus di lapor tuh, bukti mereka aj gk bisa nanganin sampe harus kirim ke IGD

Tpi orang masih aja percaya dukun di banding dokter 😅",2026-02-27T09:00:32Z
@ayaya9670,"itu dukun beranak bisa di tuntut ga sih
sumpah parah banget",2026-02-27T08:26:11Z
@Digilab-Yahya,"mitos dokter emang harus ada gila gilanya yah dok, sampe menceritakan kisah serem dengan senyuman ngeri ngeri",2026-02-27T04:32:34Z
@SochoHan,Ri= Jm/IT jumlah mikroba Imunitas tb,2026-02-26T13:57:34Z
@WhoIam157,Aduh bener lagi asam lambung karena mikirin negara tambah kacau balau beliau,2026-02-26T11:05:35Z
@liliskomariah8553,"Saya denger cerita dokter ini,malah pegang2 badan sendiri,ngilu banget 😢😢😢",2026-02-26T07:44:47Z
@willnasumpena9499,AQ berasa kyk baca buku tapi imajinasiku nyata. Atau AQ berasa kayak nonton drama bneran dr semua crita dokter. Bersaing ini sama fillm2 beneran.... Hehheee,2026-02-26T05:08:56Z
@RahmiMaelani,Bang radit harus nonton the tramuma code... 🎉🎉🎉,2026-02-26T01:21:17Z
@ellykusuma1346,Aku cepetiin baaang GK kuat denger ceritanya pngen nangis,2026-02-26T00:36:35Z
@siska0198,Assik bgt nih dengerin dokter Gia... keren bgt dok... markotop,2026-02-25T14:26:11Z
@yusnitaiftah7659,Denger cerita dokter rasanya kok lemes,2026-02-25T12:49:57Z
@dewantimp,Baru mulai nyetel udh ngilu dengernya😭,2026-02-25T10:30:49Z
@shofiaamalia-bl4np,udah ah cuma kuat di menit ke 5 😭😭,2026-02-25T03:25:28Z
@bunga0929,9:19 perempuan tuh makhluk paling kuat kalo terjadi di cowok udah lewat tuh pasti mereka ngerasa in nyeri haid aja pling udah pingsan 😭😭😭,2026-02-24T12:14:58Z
@rikofantasy1,Pak pak,2026-02-24T10:45:21Z
@meitanurmawanti,Dokter praktek di bandung yuk,2026-02-24T09:53:54Z
@LYNX_43-l4g,Rahim? RAHIM!?,2026-02-24T08:56:58Z
@DewiiAst,"Anak ku usia 1 minggu trombosit turun sampe hanya 3000.. leukosit tinggi sekali, BBLR dll .. sampe dokter spesialis anaknya bilang ikhlasin ya Bu kalo terjadi sesuatu 😢 Alhamdulillah anak ku anak hebat, anak kuat,ajaib , mukjizat bngt setelah banyak perjuangan panjang, anaknya panjang umur sampe sekarang 6 tahun walaupun blm lancar bicara & blm bisa jalan .. doain ya teman² semua semoga anak ku cepet bisa jalan dgn baik & normal, cepet bisa bicara dgn baik & normal, cepet mengejar segala ketertinggalan nya ..aamiin ya robbal'alamin, btw nama anak ku Hasna Nabilla",2026-02-24T06:30:34Z
@TK-sd1my,"Tutur bahasanya santun, jd mudah diterima bahasa medisnya⭐ terus berbagi ilmu dok Gia utk kita semua",2026-02-24T05:48:17Z
@SahabatKocheng,Express gw 😶😦🫥😶🙀🥴😶😶😶,2026-02-24T03:36:05Z
@ronypriatna6059,Ngilu.... 😢😢😢😮,2026-02-24T01:56:21Z
@alyaanggraini1637,nama film yg di blg bg radit judulnya apaa we?,2026-02-23T14:07:03Z
@CiciMarlina-k8z,Langsung lemes banget badan aku denger cerita darah😭,2026-02-20T18:31:12Z
@adjiepancar.w9854,Puyeng anying 😅,2026-02-20T15:56:25Z
